Sample,From,To,Resistance,Reactance
7,2,4,0.0584730873852509,0.172965077481588
7,2,5,0.0574812648412875,0.175335083388278
7,3,4,0.067007055073514,0.170314562420516
7,4,5,0.0132892766933209,0.0421505199636961
7,4,7,0,0.208662141097122
7,4,9,0,0.548921860020533
7,5,6,0,0.248770778165514
7,6,11,0.0943052235690306,0.196285602936998
7,6,12,0.122238217619495,0.256527092476542
7,6,13,0.0670654777869204,0.129019432448143
7,7,8,0,0.174167408723973
7,7,9,0,0.109792139867598
7,9,10,0.0316801690762411,0.0826406610350533
7,9,14,0.12939652235929,0.267083992364938
7,10,11,0.0828525580235126,0.190698225535806
7,12,13,0.218001057986601,0.196788664007643
7,13,14,0.168772106300048,0.352879019258633
8,1,2,0.0188891072209956,0.058420384010423
8,1,5,0.0544018564401807,0.222789946060387
8,2,3,0.045899867513723,0.198767104483345
8,2,4,0.0586403916342599,0.176453299749199
8,2,5,0.0583100365152708,0.176031447688728
8,3,4,0.0673592258361337,0.170296215979186
8,4,5,0.0134601588032319,0.0422210587648565
8,4,7,0,0.210098568143874
8,4,9,0,0.552967422109478
8,5,6,0,0.251052257935574
8,6,11,0.0949584683803568,0.199932686278189
8,6,12,0.121777204180936,0.256519368869092
8,6,13,0.0646218969442928,0.130279069888535
8,7,8,0,0.17624948446457
8,7,9,0,0.109974146045074
8,9,10,0.0316759405697069,0.0861240494897703
8,9,14,0.12652153921238,0.269836898699715
8,10,11,0.0831303331795038,0.193085200003958
8,12,13,0.218608748958684,0.202544813856112
8,13,14,0.17037637762963,0.345658543009178
9,1,2,0.0193073838763615,0.0593882684698745
9,1,5,0.0546764726684806,0.222002010159738
9,2,3,0.0473422992368204,0.195096295104683
9,2,4,0.0581809127369881,0.174741861590666
9,2,5,0.0569286782556304,0.175065560510026
9,3,4,0.066890059631983,0.171134729839454
9,4,5,0.0135236600757703,0.043380024158921
9,4,7,0,0.208666637471644
9,4,9,0,0.551995291187584
9,5,6,0,0.253068900313365
9,6,11,0.0951335744117684,0.198815633524887
9,6,12,0.122910752758765,0.257341617277642
9,6,13,0.0660311645086897,0.132004930387337
9,7,8,0,0.177532175129417
9,7,9,0,0.109400302965725
9,9,10,0.0319296757354926,0.0836607944617989
9,9,14,0.127548604795701,0.269256188555215
9,10,11,0.0819961681926987,0.1896495895353
9,12,13,0.220481775498679,0.201366452048221
9,13,14,0.169650909911765,0.351306962495602
10,1,2,0.0195664457622469,0.059291494337937
10,1,5,0.0552515313407087,0.226104889388882
10,2,3,0.0471765966313279,0.196464442769389
10,2,4,0.0582305875357795,0.172651352978757
10,2,5,0.0576056863805223,0.170813377988513
10,3,4,0.0658970636025025,0.172135373673356
10,4,5,0.0133111359274024,0.0421649796464095
10,4,7,0,0.209388402565799
10,4,9,0,0.558058085187636
10,5,6,0,0.252768338446422
10,6,11,0.0938337179476777,0.200513560661587
10,6,12,0.122647672515386,0.254206758850551
10,6,13,0.0660622538837222,0.129658488842424
10,7,8,0,0.173950656812333
10,7,9,0,0.11083153164353
10,9,10,0.0318091384002708,0.0850036130535132
10,9,14,0.126614006666941,0.275416957722565
10,10,11,0.081979310406726,0.190401383678243
10,12,13,0.218200000186027,0.20061316338188
10,13,14,0.171062437563854,0.349937185033646
11,1,2,0.0195351444219288,0.0588098873535515
11,1,5,0.0546732792762924,0.222371464926039
11,2,3,0.0476563559412239,0.196187211234534
11,2,4,0.0580528413872276,0.176204101061327
11,2,5,0.0579009761961287,0.172786151169871
11,3,4,0.0679039250674176,0.17010386827862
11,4,5,0.0132758901376967,0.0416999589323503
11,4,7,0,0.209061026075856
11,4,9,0,0.556143451710479
11,5,6,0,0.250746209753922
11,6,11,0.0930554352917538,0.202563878836636
11,6,12,0.124402759741069,0.258763154547074
11,6,13,0.0657363838809381,0.129213202648031
11,7,8,0,0.175320970372579
11,7,9,0,0.110688317228466
11,9,10,0.0323405184129704,0.0841125060136096
11,9,14,0.125208298342939,0.265439052073142
11,10,11,0.0827600790650732,0.190220424130528
11,12,13,0.217919916493182,0.201798725019567
11,13,14,0.170292014213655,0.349336397950665
12,1,2,0.0196925501951326,0.0586861161879496
12,1,5,0.0536862727867556,0.226609165687216
12,2,3,0.0465943324820395,0.197288710010761
12,2,4,0.0581273814508153,0.178777425532352
12,2,5,0.0569684514044796,0.170903942184977
12,3,4,0.0672151303760058,0.171588583065059
12,4,5,0.0132471221327994,0.042168473650518
12,4,7,0,0.211128549202522
12,4,9,0,0.551923310198548
12,5,6,0,0.252372963101458
12,6,11,0.0953813456548294,0.203614409312761
12,6,12,0.123641413122915,0.255018338013761
12,6,13,0.0649617308938433,0.129560612978316
12,7,8,0,0.174368391865257
12,7,9,0,0.110319042475211
12,9,10,0.0318785637412439,0.0845512733964338
12,9,14,0.128079298852593,0.269060335230515
12,10,11,0.0827273868455081,0.191452387265089
12,12,13,0.22035793419355,0.200691836648791
12,13,14,0.172204935698741,0.351323206525872
13,1,2,0.0194439302358383,0.059192065712415
13,1,5,0.0540094426222755,0.225431673579377
13,2,3,0.0467855773529294,0.195840066680624
13,2,4,0.0574642374042135,0.176675915705515
13,2,5,0.0571723023259373,0.171666184863234
13,3,4,0.0671670277113673,0.169834300584369
13,4,5,0.0131582322928067,0.0432420460612341
13,4,7,0,0.208690193778728
13,4,9,0,0.575924781216643
13,5,6,0,0.254242724938641
13,6,11,0.0945645434913718,0.198729978200178
13,6,12,0.123630020251931,0.259133491211082
13,6,13,0.0660861463856306,0.128721084309295
13,7,8,0,0.177330172285055
13,7,9,0,0.109466661121061
13,9,10,0.0318629039079617,0.0854758901183409
13,9,14,0.12590723783103,0.269354068825878
13,10,11,0.0813682609588032,0.19337232218979
13,12,13,0.219525900160156,0.199051813149117
13,13,14,0.169270020823174,0.345707864156788
14,1,2,0.0193261988461949,0.0586790816482918
14,1,5,0.0545832612988739,0.225591252827311
14,2,3,0.0463030478459502,0.196423388021517
14,2,4,0.0587032423526893,0.174552133496393
14,2,5,0.0568051635540196,0.172116383090855
14,3,4,0.0680145930098704,0.168031089246413
14,4,5,0.0133935859818124,0.0426221256241122
14,4,7,0,0.205791760629845
14,4,9,0,0.558625222756146
14,5,6,0,0.249783057505854
14,6,11,0.095527209234589,0.202728666345166
14,6,12,0.121810988935969,0.254217929985091
14,6,13,0.0667718805763795,0.129047389573602
14,7,8,0,0.176591855727394
14,7,9,0,0.108851916483209
14,9,10,0.0317286149859803,0.0847173814881715
14,9,14,0.125982182638867,0.26802320777711
14,10,11,0.0814441842865591,0.191790329787247
14,12,13,0.219634831136293,0.200213858459758
14,13,14,0.170088121153179,0.34602855493086
15,1,2,0.0189168617692461,0.0588257206408191
15,1,5,0.0544360974890092,0.221069482433879
15,2,3,0.0462490902535346,0.196862500367823
15,2,4,0.0586299970858414,0.178268565566549
15,2,5,0.055904455975143,0.172463081699091
15,3,4,0.0678111930862197,0.17015124654273
15,4,5,0.0133497990884197,0.0421960990867479
15,4,7,0,0.211293861562316
15,4,9,0,0.56233873681111
15,5,6,0,0.247955717661637
15,6,11,0.0943731102820135,0.201010372111377
15,6,12,0.125197134250177,0.258577298334138
15,6,13,0.0673254900718316,0.13083578630801
15,7,8,0,0.175978596130574
15,7,9,0,0.110384970378798
15,9,10,0.0318577200167498,0.0858842046591068
15,9,14,0.126747236520049,0.270035490393145
15,10,11,0.0810767622533554,0.191861011836741
15,12,13,0.219694215605313,0.196877814632023
15,13,14,0.171949085659068,0.351306825359133
16,1,2,0.0192693515379932,0.0599868810281469
16,1,5,0.0539679348240215,0.225131896779978
16,2,3,0.0465571969509947,0.19996580787458
16,2,4,0.0583362462386458,0.172595722848104
16,2,5,0.0572427242096836,0.173592837755877
16,3,4,0.0670878833866516,0.170479108800456
16,4,5,0.0134391371559809,0.042288707512621
16,4,7,0,0.213314963435027
16,4,9,0,0.558196863335148
16,5,6,0,0.252464929915833
16,6,11,0.0951413817555541,0.200241891642484
16,6,12,0.120690019113161,0.254042499058997
16,6,13,0.0670720642858277,0.130417812395608
16,7,8,0,0.174561620596208
16,7,9,0,0.110438133440684
16,9,10,0.0321517723646057,0.084563628970828
16,9,14,0.125238733670953,0.267438175788476
16,10,11,0.080076806344144,0.189802485867034
16,12,13,0.218571121871218,0.196891081616659
16,13,14,0.170480136419083,0.343057052403541
17,1,2,0.0191720605707717,0.0594777149470475
17,1,5,0.0534530453375145,0.226127026771874
17,2,3,0.0461739318504881,0.197121121893557
17,2,4,0.0588095478044061,0.174475983795768
17,2,5,0.0577527916562471,0.172824776470773
17,3,4,0.0674454095922859,0.170093374454753
17,4,5,0.0134190143451678,0.0424374061777443
17,4,7,0,0.207891914180972
17,4,9,0,0.562850351028342
17,5,6,0,0.249751282104975
17,6,11,0.0945297155457772,0.199424490553654
17,6,12,0.121044248109962,0.251908598892802
17,6,13,0.0667664785296657,0.130311892442243
17,7,8,0,0.177786270719218
17,7,9,0,0.108874838908225
17,9,10,0.0317770257950975,0.0849287969542947
17,9,14,0.127236410534627,0.271259196064914
17,10,11,0.0816323188537889,0.191931333426605
17,12,13,0.222262436880707,0.199887851307396
17,13,14,0.167392826532315,0.351597083776102
18,1,2,0.0193373865511588,0.0578479403694157
18,1,5,0.05310670492545,0.223179291147571
18,2,3,0.0470182408229608,0.200364023849895
18,2,4,0.0576613490336922,0.174541240340916
18,2,5,0.0572341306104797,0.17317198982534
18,3,4,0.0667567258072703,0.172713777481144
18,4,5,0.0131572408170044,0.0423785169832981
18,4,7,0,0.203412007441562
18,4,9,0,0.562912854900041
18,5,6,0,0.253029011884847
18,6,11,0.0953066418069727,0.198735934547211
18,6,12,0.122631473443997,0.252031762219115
18,6,13,0.0672113367868154,0.131982613493108
18,7,8,0,0.180338024012835
18,7,9,0,0.109073902914226
18,9,10,0.0319211550761941,0.0856669429127518
18,9,14,0.127486693556636,0.267461558676888
18,10,11,0.0814476397096863,0.190238345562181
18,12,13,0.220897745550709,0.19914829711175
18,13,14,0.171737486177928,0.343708775961105
19,1,2,0.0194265078705534,0.0598215805586086
19,1,5,0.0536953612366717,0.228382705617468
19,2,3,0.0473499996595735,0.198202432358281
19,2,4,0.0588179365879316,0.176208724442599
19,2,5,0.0551580030670948,0.175892750814049
19,3,4,0.0670663184657531,0.173660646831487
19,4,5,0.0132724268500933,0.0412037976672501
19,4,7,0,0.211021303268092
19,4,9,0,0.550487199935954
19,5,6,0,0.248284036653254
19,6,11,0.0965450182357564,0.199847074146639
19,6,12,0.123113106030373,0.253752288307979
19,6,13,0.0656132656081646,0.130348765252521
19,7,8,0,0.175224195199249
19,7,9,0,0.110024607360315
19,9,10,0.031367304976977,0.0844846839932198
19,9,14,0.126336386384018,0.272058238501118
19,10,11,0.0817673201706223,0.189735505005298
19,12,13,0.221951816015563,0.201492270493234
19,13,14,0.167560751478987,0.348741498070602
20,1,2,0.019721028227763,0.0600058874428846
20,1,5,0.0543516031682733,0.222531028599795
20,2,3,0.0464749244564373,0.194805586517717
20,2,4,0.0580188941889789,0.177146447505602
20,2,5,0.0570590187333901,0.170858511556549
20,3,4,0.0668186764845861,0.171735222384499
20,4,5,0.0133002737924632,0.0422250177905776
20,4,7,0,0.207084790904756
20,4,9,0,0.552017671693504
20,5,6,0,0.254900194906218
20,6,11,0.0949734516515777,0.199020895327021
20,6,12,0.123197090556081,0.257025145685911
20,6,13,0.0654525656955227,0.130858847947792
20,7,8,0,0.175625117904687
20,7,9,0,0.109277208015853
20,9,10,0.0316842725298721,0.083512085958515
20,9,14,0.125978035580199,0.272205482133278
20,10,11,0.0811716832424198,0.193144031912736
20,12,13,0.22085067524934,0.200932321886728
20,13,14,0.1740786542738,0.349593042024671
21,1,2,0.0195300363670309,0.0585789108502126
21,1,5,0.0529139056911585,0.223620143472001
21,2,3,0.046778755534661,0.198645021647144
21,2,4,0.0592276635789654,0.177298060380706
21,2,5,0.0571480150020803,0.17316924582819
21,3,4,0.0652671713526235,0.171243603685544
21,4,5,0.0130098401176373,0.0417760739811882
21,4,7,0,0.209182049656765
21,4,9,0,0.540803671113282
21,5,6,0,0.250717850343407
21,6,11,0.0964589161116721,0.201000011051547
21,6,12,0.123746975128358,0.253519298938244
21,6,13,0.0660376866770973,0.131809687728788
21,7,8,0,0.178167432694946
21,7,9,0,0.110925976021912
21,9,10,0.0309818958339524,0.0848684201850724
21,9,14,0.126183887866462,0.272174253090745
21,10,11,0.0825305505775249,0.193646369296986
21,12,13,0.219438441323502,0.20057083499527
21,13,14,0.169697458302567,0.347182966260768
22,1,2,0.0192201445223361,0.0598781087508673
22,1,5,0.0540410988266535,0.223820341254412
22,2,3,0.0472775721973264,0.196192689577497
22,2,4,0.058056504689666,0.177083606567852
22,2,5,0.0573282459890227,0.175984888960695
22,3,4,0.0680921759672146,0.169747252479798
22,4,5,0.0134820712739636,0.0423642186169756
22,4,7,0,0.212437518922405
22,4,9,0,0.554590036911572
22,5,6,0,0.246313724219579
22,6,11,0.0951724589156544,0.198687648447001
22,6,12,0.122396162997888,0.257934670364977
22,6,13,0.067149007997185,0.132071342118051
22,7,8,0,0.174246541668028
22,7,9,0,0.108738374162515
22,9,10,0.0318655809259945,0.0837646029842342
22,9,14,0.125592605090951,0.268719910221509
22,10,11,0.0820499039531626,0.191542953179419
22,12,13,0.223049998267791,0.197042086208653
22,13,14,0.171338891010627,0.344205465194465
23,1,2,0.0195017500398503,0.0587111113919749
23,1,5,0.0535294671948768,0.220962482160528
23,2,3,0.0463252088272644,0.197530062249074
23,2,4,0.0590948698070309,0.17650641899059
23,2,5,0.0569463991880135,0.175465045466066
23,3,4,0.0660977355432525,0.17012902093431
23,4,5,0.0132749787792549,0.0421435342535032
23,4,7,0,0.207290804480286
23,4,9,0,0.559775114870203
23,5,6,0,0.25573515150989
23,6,11,0.0943192115068181,0.199746893896981
23,6,12,0.123621004505131,0.261923605206551
23,6,13,0.066077054768146,0.129565889314073
23,7,8,0,0.179073513841105
23,7,9,0,0.1080863988981
23,9,10,0.0318904224265061,0.0839876361907758
23,9,14,0.128686097219247,0.26825383988506
23,10,11,0.0812652066659127,0.190010366749262
23,12,13,0.222163834164133,0.197677572751228
23,13,14,0.172361544427928,0.339703312600423
24,1,2,0.0197267563592324,0.0598395939098827
24,1,5,0.0541530239612309,0.222260676218822
24,2,3,0.0468629576740616,0.198472591671791
24,2,4,0.0574946898050102,0.174489602540777
24,2,5,0.0568196883592136,0.175432479294322
24,3,4,0.0664052114241876,0.170632759128737
24,4,5,0.0132319847709763,0.0421488702277393
24,4,7,0,0.207491189916857
24,4,9,0,0.558453814542442
24,5,6,0,0.253333021833582
24,6,11,0.0960503588551533,0.200353927002503
24,6,12,0.122150163048064,0.257251810303005
24,6,13,0.0665050886188465,0.12897205741491
24,7,8,0,0.177106514419118
24,7,9,0,0.111234332872229
24,9,10,0.0325139446839163,0.0847261022663456
24,9,14,0.125770267407384,0.269068967857953
24,10,11,0.0819757305501702,0.189911341803005
24,12,13,0.22172021076652,0.201131007544626
24,13,14,0.169321733164397,0.348812682881146
25,1,2,0.0193432155190975,0.0596207920786844
25,1,5,0.0541589097531101,0.223494320035206
25,2,3,0.0467697896864203,0.20470913772393
25,2,4,0.0588845841700228,0.177125125927263
25,2,5,0.0583535722649204,0.174532115082664
25,3,4,0.0686833492629307,0.17109825239181
25,4,5,0.0132759579488645,0.0421377452402761
25,4,7,0,0.211210659830276
25,4,9,0,0.548560409609546
25,5,6,0,0.246438408459265
25,6,11,0.0957943047195026,0.19993901821731
25,6,12,0.12298976314444,0.254895219644459
25,6,13,0.0656157524305727,0.130729060054801
25,7,8,0,0.175289353189325
25,7,9,0,0.1111855344442
25,9,10,0.0318195309685012,0.0838283197854731
25,9,14,0.126541139265185,0.270866078250895
25,10,11,0.0826883472350068,0.191529373483999
25,12,13,0.223435915404717,0.199026155198477
25,13,14,0.172783554314247,0.34997744083546
26,1,2,0.019375655725737,0.0593058691813833
26,1,5,0.0549953287792076,0.221381903879598
26,2,3,0.0472597115979308,0.197357253556733
26,2,4,0.0589346181469047,0.175672708672663
26,2,5,0.0573405480522724,0.173982467486682
26,3,4,0.067551165949543,0.169708134979175
26,4,5,0.013315916752781,0.0426409747040283
26,4,7,0,0.207420299187707
26,4,9,0,0.556077220767485
26,5,6,0,0.247893876824312
26,6,11,0.095040675684427,0.19818921099956
26,6,12,0.121705748450823,0.254276412752766
26,6,13,0.0659632621145524,0.13019913574
26,7,8,0,0.176107524721413
26,7,9,0,0.109891498625779
26,9,10,0.0318777337070166,0.0854123963763844
26,9,14,0.126997094038783,0.274968848101719
26,10,11,0.0823287291820903,0.188719023665534
26,12,13,0.217664536403298,0.200233315707535
26,13,14,0.168382188761243,0.350532335720716
27,1,2,0.0193349806564143,0.0597315158129449
27,1,5,0.0541166685356042,0.222821874875588
27,2,3,0.0471417120707543,0.193378264228553
27,2,4,0.0592587344101261,0.175952003654902
27,2,5,0.0564249511922144,0.174201620977712
27,3,4,0.0653532256306425,0.171788991153481
27,4,5,0.0131970424956207,0.042279653245155
27,4,7,0,0.207788104978406
27,4,9,0,0.551691715795033
27,5,6,0,0.253726922919579
27,6,11,0.0956951023854197,0.19630721676204
27,6,12,0.123854479678249,0.252292332866027
27,6,13,0.0666438643004757,0.130793817644054
27,7,8,0,0.176505261194498
27,7,9,0,0.109465178335619
27,9,10,0.0318893789056364,0.0842473660595906
27,9,14,0.127721717171466,0.270011250792248
27,10,11,0.083398149967176,0.193108794359956
27,12,13,0.221833764487148,0.201787580311652
27,13,14,0.171192093975298,0.343008895845346
28,1,2,0.0196435375702205,0.0584648737431012
28,1,5,0.053826535918899,0.223931834571819
28,2,3,0.0465797576506888,0.204536599775496
28,2,4,0.0579487626271337,0.17842561736451
28,2,5,0.0567008523425477,0.173296304822427
28,3,4,0.0666370598488333,0.170059860224895
28,4,5,0.0136180608604414,0.0420929711544376
28,4,7,0,0.2115823811217
28,4,9,0,0.555895627071544
28,5,6,0,0.258274911125161
28,6,11,0.0927467785754603,0.194380900854359
28,6,12,0.122418701045626,0.254830698048348
28,6,13,0.0658458723899862,0.128672403362369
28,7,8,0,0.172973733016799
28,7,9,0,0.10874309733832
28,9,10,0.0319313498495988,0.0839809965514214
28,9,14,0.127986553274835,0.270058193183781
28,10,11,0.0826499094049725,0.194074746750367
28,12,13,0.217508747306768,0.201752742541051
28,13,14,0.172268730438432,0.346791173663333
29,1,2,0.0191149012319958,0.0590422005275839
29,1,5,0.0531941830558498,0.224017471563468
29,2,3,0.0462374491426096,0.198490399853492
29,2,4,0.0588333916573664,0.176329145500063
29,2,5,0.0561696109703056,0.172865269846875
29,3,4,0.0666382449594948,0.17121353079026
29,4,5,0.0133886401332573,0.0423851064312296
29,4,7,0,0.209556493507407
29,4,9,0,0.563799304188661
29,5,6,0,0.252941568277663
29,6,11,0.0953386336840573,0.201650052129697
29,6,12,0.122304231689923,0.254284956211392
29,6,13,0.0671495627489875,0.131914461713688
29,7,8,0,0.178392392293513
29,7,9,0,0.110896289247513
29,9,10,0.0320010977929988,0.0849186385614208
29,9,14,0.12876674985369,0.266238826361289
29,10,11,0.0820025187255158,0.192665804367491
29,12,13,0.21824593526831,0.199528057599714
29,13,14,0.169752583458675,0.350830393297939
30,1,2,0.0194631230245574,0.0594965070079353
30,1,5,0.053709554195346,0.228475927994877
30,2,3,0.0472610047823675,0.197843333090026
30,2,4,0.0587470392159104,0.176543187659558
30,2,5,0.0559857987010735,0.171899048364517
30,3,4,0.0676087352770585,0.174719870524669
30,4,5,0.0135482991119356,0.0415328956633937
30,4,7,0,0.208526920251428
30,4,9,0,0.554524625143841
30,5,6,0,0.249693625624327
30,6,11,0.0929626811829527,0.199623703268162
30,6,12,0.123319140287977,0.255919141280386
30,6,13,0.0663610659741189,0.132370112092478
30,7,8,0,0.174624570411741
30,7,9,0,0.108849837729027
30,9,10,0.0319245809152659,0.0860589977767264
30,9,14,0.127069193463228,0.272281765876182
30,10,11,0.0817090389092771,0.192748488551277
30,12,13,0.220098475788671,0.197306139198041
30,13,14,0.171708790808021,0.346949367693495
31,1,2,0.0194792206425129,0.0590125207580361
31,1,5,0.0546840664927011,0.220175669701246
31,2,3,0.0472404451754753,0.197187262590397
31,2,4,0.0574091703418345,0.177288379107746
31,2,5,0.0576811229819701,0.173062478541033
31,3,4,0.0676580494960586,0.172655286186003
31,4,5,0.0134590622117686,0.0426775460793465
31,4,7,0,0.206560976925891
31,4,9,0,0.550557242943293
31,5,6,0,0.248059163488738
31,6,11,0.0943959798467407,0.197979113199861
31,6,12,0.122014376090085,0.253885173605163
31,6,13,0.0652267775282791,0.132150229986438
31,7,8,0,0.175661079851512
31,7,9,0,0.111691707073796
31,9,10,0.0315922198314507,0.0854956765626569
31,9,14,0.129505847218174,0.27446250748095
31,10,11,0.0817627286127818,0.190896663043796
31,12,13,0.218721106169447,0.199654311121725
31,13,14,0.172203068025176,0.346862110768976
32,1,2,0.0192130565155471,0.0593622070203911
32,1,5,0.0545950751376882,0.223657827730909
32,2,3,0.0472265689730395,0.195563954369981
32,2,4,0.0582401176332255,0.178073588353653
32,2,5,0.0560856881860434,0.173915380130927
32,3,4,0.066120315729783,0.169684460504186
32,4,5,0.0133314541204149,0.0420679291524133
32,4,7,0,0.210192820312111
32,4,9,0,0.569203310246301
32,5,6,0,0.249359882789498
32,6,11,0.0970007430559067,0.200817681338471
32,6,12,0.123562510930479,0.254749312288653
32,6,13,0.0657446645312229,0.128128060722983
32,7,8,0,0.176039026964363
32,7,9,0,0.111702972846736
32,9,10,0.0318527641976077,0.0849438334825208
32,9,14,0.128496110131076,0.271712977434091
32,10,11,0.0817712574643549,0.191384925265335
32,12,13,0.222927882981305,0.202656075315847
32,13,14,0.16979778889347,0.343995862868349
33,1,2,0.0188345415946702,0.0594846754316201
33,1,5,0.0535031818513416,0.222361779600773
33,2,3,0.0464550461721608,0.19578939346261
33,2,4,0.0585863626569837,0.175290580134606
33,2,5,0.0576955909782481,0.17286554574694
33,3,4,0.0675956390899763,0.16961147614809
33,4,5,0.0132720803177357,0.0418441304550869
33,4,7,0,0.212141631824989
33,4,9,0,0.556408528533484
33,5,6,0,0.250301503070063
33,6,11,0.095513517759855,0.199767530032698
33,6,12,0.122147227765878,0.259149849292154
33,6,13,0.0657054372268717,0.130133723634596
33,7,8,0,0.177627094270029
33,7,9,0,0.110360633640071
33,9,10,0.031697934475801,0.083155753546826
33,9,14,0.126341977354303,0.272101841238175
33,10,11,0.0825256134145892,0.19242655986687
33,12,13,0.217972239928354,0.198644940675933
33,13,14,0.170942821424469,0.350161634381392
