Voltage,Angle,Pi,Qi
1.035991902,-0.281899005,-0.149717017,-0.047172924
1.062017061,0.000947389,2.320399007,-0.138927641
1.046168917,-0.085093623,0.214921033,0.279574371
1.012155663,-0.221737639,-0.95126602,0.0658504
1.020314348,-0.179878925,-0.493135619,0.137903257
1.019328501,-0.152103098,-0.090261701,-0.103085948
1.070590912,-0.245764688,-0.066469894,0.056585323
1.062212435,-0.232406912,-0.007304893,-0.000489435
1.090158809,-0.232279956,0.000834586,0.172954844
1.055908964,-0.259064985,-0.274974154,-0.206036847
1.052693792,-0.262808484,-0.080675184,-0.032857931
1.057169673,-0.259641934,-0.067400024,-0.012707526
1.055004762,-0.261839712,-0.063413214,-0.014225927
1.04914031,-0.263330186,-0.15170867,-0.07322168
1.036134511,-0.279718596,-0.153680005,-0.039783616
1.060585344,0.000447819,2.389363474,-0.176472246
1.044577977,-0.089978318,0.077636684,0.295133015
1.00995342,-0.224256664,-0.944490785,0.059302574
1.018429838,-0.181064729,-0.507748196,-0.001180226
1.022995676,-0.152704848,0.005599443,0.076895274
1.06984774,-0.247831257,-0.09801728,0.031289142
1.062001117,-0.23510576,-0.01382742,0.005238752
1.090420653,-0.234700293,0.00266558,0.17592588
1.05576187,-0.262040761,-0.277349111,-0.172276584
1.050277466,-0.26527802,-0.100436068,-0.063188773
1.056689796,-0.259518803,-0.040202944,-0.012883908
1.053772287,-0.265462849,-0.084759829,-0.010554739
1.050601819,-0.263709745,-0.109344482,-0.065305085
1.035374133,-0.282493006,-0.162452166,-0.044238822
1.060084608,0.001656842,2.356821684,-0.176057489
1.045141891,-0.085985547,0.189455588,0.301357853
1.009667101,-0.220590261,-0.939595188,0.049906155
1.018588576,-0.179051598,-0.402661635,0.029540923
1.020693762,-0.156028445,-0.19809454,0.042080461
1.071168346,-0.251057754,-0.130753174,0.08499237
1.060103989,-0.230063835,0.075568608,-0.03370542
1.0905608,-0.233305569,-0.021276114,0.188595398
1.055616928,-0.261871704,-0.334998874,-0.176466553
1.051641828,-0.265851997,-0.107922347,-0.033354802
1.056590934,-0.258470773,-0.018396404,-0.038797867
1.055377215,-0.260131847,-0.023916329,-0.046146672
1.049996369,-0.268066705,-0.170931347,-0.049411153
1.036721245,-0.280776067,-0.137854442,-0.045213275
1.058843657,-0.000823754,2.282903472,-0.180595669
1.045316409,-0.085030554,0.296696826,0.314017164
1.008054834,-0.223268937,-0.976242407,0.045184218
1.018821316,-0.178855219,-0.298381306,0.06992383
1.018643638,-0.157683329,-0.278335504,-0.013078005
1.07014766,-0.250922308,-0.122621828,0.065817497
1.060980213,-0.235147559,-0.036676254,-0.007937694
1.088322098,-0.230983728,0.027294422,0.168985456
1.056145478,-0.263424152,-0.37065271,-0.118065344
1.04964781,-0.261621763,-0.019318188,-0.106751671
1.055871753,-0.261389053,-0.064270799,-0.009887678
1.055794489,-0.263254361,-0.049312743,-0.021223032
1.051027963,-0.265414979,-0.128612435,-0.056267208
1.036110972,-0.278387934,-0.129154817,-0.058694101
1.060389077,-0.0014866,2.259233324,-0.162501536
1.045881834,-0.085155669,0.285136828,0.283879642
1.010176438,-0.221060877,-0.925635089,0.042050656
1.019084984,-0.183720026,-0.627695186,0.122369914
1.020469645,-0.153098595,0.002561642,-0.029749566
1.067145191,-0.248136724,-0.143578079,-3.77E-05
1.061068937,-0.234259796,0.000575461,-0.023452904
1.092616857,-0.230327144,0.025882914,0.195735194
1.054968965,-0.263113276,-0.34304808,-0.179953234
1.050565144,-0.263486361,-0.069406242,-0.071593959
1.058878782,-0.257222237,-0.011772596,0.010175106
1.054515149,-0.26051624,-0.040757882,-0.020260246
1.049467722,-0.264691323,-0.137803509,-0.047369372
1.03789486,-0.281323828,-0.140794402,-0.03159528
1.059811892,0.000471166,2.325665513,-0.200394458
1.046508625,-0.086890536,0.199591758,0.357239007
1.009500738,-0.220837644,-0.922251888,0.038552138
1.017705279,-0.182228938,-0.580845668,0.033290862
1.020428863,-0.153220051,-0.024866216,-0.002235281
1.06978345,-0.248325981,-0.106763607,0.036701507
1.062889375,-0.233548922,0.002683269,0.018321393
1.089256387,-0.234523265,-0.006403939,0.163048458
1.057336496,-0.259746139,-0.282500002,-0.147731426
1.051439515,-0.261497762,-0.071039775,-0.082695067
1.058281642,-0.258814893,-0.045519891,-7.96E-05
1.055160898,-0.261094468,-0.041561429,-0.02963789
1.049948383,-0.266659481,-0.170122421,-0.040879492
1.03635011,-0.27882072,-0.140559061,-0.052906154
1.059550854,-0.003152803,2.2962452,-0.204948843
1.046254504,-0.090088539,0.129064471,0.340015499
1.009762475,-0.221567042,-0.936006579,0.032315973
1.020568997,-0.178975156,-0.425014128,0.07932784
1.021929613,-0.152547497,-0.044907934,-0.006761157
1.069448056,-0.247975702,-0.128222084,0.01924833
1.062929642,-0.232279438,0.043735041,0.026919309
1.091240931,-0.232462303,-0.001204128,0.175387205
1.053986698,-0.264211115,-0.396737977,-0.205191447
1.049923179,-0.263073489,-0.057647864,-0.084974882
1.060728742,-0.256392451,-0.002727411,0.017545572
1.055527345,-0.263253402,-0.058258919,-0.009935017
1.049714491,-0.264639333,-0.129706103,-0.066773117
1.035509994,-0.284356356,-0.159619734,-0.035170987
1.057876811,-0.00117683,2.236131537,-0.180597182
1.044231847,-0.084736638,0.270029653,0.279901546
1.009763971,-0.220978266,-0.938685928,0.050067256
1.01942204,-0.181161045,-0.55729948,0.145406097
1.019404491,-0.151348783,0.00620736,-0.063940559
1.068987267,-0.249112677,-0.128041938,0.053182078
1.062638736,-0.234415412,-0.031661332,0.024799681
1.088956992,-0.234050615,0.002396429,0.162699548
1.05540769,-0.259202841,-0.22564817,-0.233312735
1.052239531,-0.264688302,-0.119534559,-0.005610493
1.054747486,-0.256799482,-0.021191572,-0.049078785
1.054880482,-0.263686067,-0.053606592,-0.016869629
1.049528652,-0.266512444,-0.146724334,-0.058844201
1.037499439,-0.28303924,-0.160745675,-0.026260245
1.059199411,-0.002435111,2.263841994,-0.144562754
1.04358542,-0.086967098,0.215441013,0.248261818
1.010699408,-0.224987476,-0.975264391,0.077583862
1.019745871,-0.179225634,-0.405602611,0.133785995
1.018963848,-0.151958785,-0.053898478,-0.084200669
1.07040379,-0.248103793,-0.079943762,0.048814543
1.06049211,-0.237622937,-0.093084309,-0.054249237
1.090277165,-0.233416108,0.027613108,0.184412131
1.058127509,-0.261461675,-0.257165241,-0.126833249
1.05277538,-0.264424144,-0.086648046,-0.049682837
1.055930711,-0.259469346,-0.05178327,-0.032785104
1.055145642,-0.264338927,-0.062994246,-0.021204797
1.050772395,-0.267574924,-0.168166088,-0.03767359
1.036226521,-0.279783982,-0.140723165,-0.059169464
1.060592558,0.004504453,2.409131296,-0.171726731
1.045305186,-0.086391062,0.101192157,0.338174811
1.010549336,-0.220641696,-0.938791168,0.060107914
1.018309135,-0.178478521,-0.447201669,0.071684348
1.018739806,-0.15135008,-0.090348143,-0.070109326
1.071906284,-0.24584435,-0.047821049,0.060438019
1.062141676,-0.234760655,-0.035137175,-0.012343466
1.091347006,-0.233652212,0.007294168,0.180947272
1.057425546,-0.261175142,-0.251590726,-0.141515716
1.050677501,-0.265210735,-0.121820057,-0.069260338
1.056873633,-0.257944427,-0.039119906,-0.024121419
1.055998433,-0.264715477,-0.076701067,-0.01171988
1.050965643,-0.266008746,-0.158769756,-0.054023098
1.035187738,-0.283753357,-0.170304367,-0.049158719
1.061016783,-0.000649799,2.3289222,-0.145560931
1.044747144,-0.087509527,0.160123077,0.283233091
1.007851119,-0.223307987,-0.968917397,0.041141949
1.019206271,-0.178078398,-0.345330529,0.054734303
1.020753384,-0.15326076,-0.122119081,0.000424776
1.070581754,-0.247107259,-0.067693832,0.055366171
1.06289821,-0.239321762,-0.14915974,0.029685548
1.089344691,-0.232665571,0.043751904,0.163695613
1.055518761,-0.26077686,-0.240696009,-0.220374391
1.052185552,-0.264140968,-0.083761014,-0.027994277
1.055792372,-0.259180765,-0.054786166,-0.030447689
1.055085628,-0.264080778,-0.067765286,-0.011435759
1.049323615,-0.265159911,-0.158968416,-0.075459561
1.038682416,-0.280319888,-0.140173999,-0.028338994
1.059183954,-0.000215752,2.239372467,-0.145902879
1.043724705,-0.08307609,0.279207684,0.23957091
1.010060038,-0.219752605,-0.936752413,0.064230764
1.017901103,-0.179761635,-0.551530498,0.075415711
1.020068824,-0.150919742,-0.013648252,-0.003072064
1.06983384,-0.247759129,-0.088390374,0.040938555
1.060597086,-0.23377773,-0.044191067,-0.025183726
1.091823073,-0.232328709,0.009525647,0.193553611
1.055241829,-0.258386026,-0.222757543,-0.18859449
1.050923426,-0.263326511,-0.111314101,-0.039323572
1.056339364,-0.25796788,-0.038003075,-0.021493358
1.054950251,-0.267306539,-0.083886366,0.00103554
1.049761165,-0.265774122,-0.138920544,-0.064245104
1.034642466,-0.282003423,-0.166441333,-0.042760185
1.059761932,-0.000673071,2.264114344,-0.153915475
1.044113958,-0.084095033,0.239359631,0.226582669
1.009314063,-0.218162312,-0.940572174,0.039166682
1.02075664,-0.17665847,-0.340865614,0.071116406
1.022245977,-0.154040351,-0.201186075,0.056553808
1.069691448,-0.245575478,-0.074908149,0.000663175
1.062862465,-0.235351406,-0.108564499,0.003004688
1.091131452,-0.232520379,0.018638669,0.175133855
1.056164189,-0.257035165,-0.208633593,-0.210833174
1.051821163,-0.261659061,-0.100134771,-0.053645566
1.058929344,-0.258588062,-0.053208785,0.009281852
1.055709919,-0.259854277,-0.049631713,-0.02500206
1.051301552,-0.264779224,-0.161857429,-0.032347412
1.038075425,-0.279451806,-0.153330473,-0.034354847
1.058585199,0.002201883,2.399032473,-0.238026002
1.046333751,-0.089558743,0.098168194,0.402279815
1.010803181,-0.224009292,-0.945001342,0.058612303
1.018540045,-0.181171745,-0.519625155,0.046899588
1.019849123,-0.152925925,-0.060344415,-0.036838062
1.069844934,-0.243804215,-0.022657766,0.024704353
1.063981646,-0.228116553,0.175879807,0.04230797
1.090191704,-0.233934378,-0.038310035,0.162325393
1.056460524,-0.265925444,-0.523259214,-0.157485663
1.052925582,-0.261697415,0.008945718,-0.065502891
1.0564882,-0.257965473,-0.06752213,-0.017219119
1.054021618,-0.264451927,-0.089204792,-0.005093286
1.049766495,-0.263912675,-0.163875809,-0.053896501
1.037042682,-0.277020109,-0.113326256,-0.057589312
1.059171056,-0.001252257,2.296408073,-0.215847719
1.046888145,-0.087536151,0.208320512,0.378070918
1.00925889,-0.222340201,-0.952909282,0.04875008
1.017432902,-0.178672039,-0.408510166,-0.022391101
1.020593451,-0.154189049,-0.14655755,0.036826956
1.069811848,-0.243973986,-0.014681375,0.002610763
1.062275098,-0.233749353,-0.031709067,0.054370306
1.088570858,-0.231950569,0.011808368,0.162513022
1.052976959,-0.260406582,-0.304275915,-0.260268596
1.051804281,-0.263049282,-0.065372212,-0.015166408
1.056700058,-0.258845944,-0.065352826,-0.009310939
1.055534465,-0.262964463,-0.071147155,-0.011199021
1.050803873,-0.265847716,-0.174655141,-0.030353518
1.036204582,-0.281097349,-0.148287825,-0.035639519
1.058236545,0.002058015,2.30016866,-0.228944825
1.046440724,-0.084939941,0.221434189,0.3617982
1.010869866,-0.223201456,-0.973544555,0.064827748
1.019461954,-0.178809599,-0.493586068,0.090806087
1.020326904,-0.15035398,-0.034394419,-0.04069576
1.070250384,-0.245805319,-0.0826506,0.044458331
1.061200833,-0.234028606,-0.064300206,-0.011945963
1.088313575,-0.233889075,0.000914833,0.167511644
1.056501397,-0.256457184,-0.175013343,-0.181169805
1.05124655,-0.26307634,-0.140015044,-0.041862152
1.057047276,-0.256755405,-0.035367875,-0.018758405
1.05522064,-0.262977942,-0.067637945,-0.010561224
1.049638998,-0.264276237,-0.153894052,-0.062110444
1.035827079,-0.280310565,-0.165578028,-0.039730877
1.062127075,0.000737647,2.328960425,-0.113073253
1.043927042,-0.08540351,0.174471092,0.213532643
1.010196031,-0.220491215,-0.935539697,0.061063403
1.018472779,-0.179497049,-0.516849105,0.028240336
1.022228749,-0.151947706,-0.043282126,0.05466777
1.070492263,-0.246403018,-0.049318163,0.043413938
1.061042069,-0.232375918,0.01159352,-0.019086166
1.09113139,-0.233545634,-0.007687894,0.186387711
1.055745728,-0.260189384,-0.317118485,-0.17901657
1.052082182,-0.261662018,-0.06153804,-0.038574352
1.055314462,-0.256921175,-0.050224067,-0.036916934
1.054240895,-0.264197527,-0.0671265,-0.021509214
1.049207581,-0.267929044,-0.19279218,-0.045868339
1.036714821,-0.280069673,-0.138896791,-0.042905895
1.061019703,-0.000975997,2.260370237,-0.117587823
1.044647735,-0.08416342,0.283494312,0.241711231
1.010114087,-0.221602889,-0.943222166,0.053928389
1.019324488,-0.181981869,-0.563489281,0.161142651
1.018424584,-0.152255191,-0.028001212,-0.102891682
1.068063119,-0.24915092,-0.185509895,0.030560994
1.062619982,-0.233306271,0.024950234,0.02478892
1.088476333,-0.232706053,0.003941152,0.159774253
1.05580028,-0.262785185,-0.330574353,-0.181965538
1.051004994,-0.2648125,-0.095840685,-0.062049338
1.05856505,-0.257058314,-0.003089923,-0.00438323
1.054602558,-0.260273861,-0.048683234,-0.023943518
1.051610516,-0.262197052,-0.090830931,-0.047893987
1.036837509,-0.280686284,-0.150972847,-0.043227385
1.060272279,0.002335415,2.419723563,-0.183230308
1.045117987,-0.089313686,0.057769108,0.351879026
1.008771224,-0.220502975,-0.921458654,0.03620182
1.018087931,-0.179442526,-0.442168915,0.039841232
1.019839455,-0.153518015,-0.095465869,-0.009550445
1.070319689,-0.249235756,-0.138071245,0.062595746
1.061906795,-0.232532096,0.0097829,-0.002249684
1.090880162,-0.232419521,0.000740325,0.179429345
1.056250902,-0.261080021,-0.295006917,-0.16933971
1.051110463,-0.26470249,-0.103779838,-0.057985731
1.057574716,-0.258921931,-0.029949211,-0.015434656
1.055886454,-0.261573392,-0.047363115,-0.019887193
1.050377093,-0.263798323,-0.124451852,-0.068851634
1.035994881,-0.280711085,-0.154014863,-0.045546227
1.059694779,-0.00261294,2.280348494,-0.163092882
1.044936313,-0.088066121,0.197369624,0.290720555
1.010046799,-0.221864507,-0.926290457,0.042561857
1.019751207,-0.182423326,-0.567171001,0.152689408
1.019479996,-0.152527937,0.0041632,-0.089134699
1.069628193,-0.247896042,-0.107640041,0.030515137
1.061554572,-0.232303245,0.021727225,-0.002762941
1.089390354,-0.231724123,0.00380201,0.172150026
1.055489089,-0.260724588,-0.298966088,-0.181561553
1.050273776,-0.264088714,-0.105240191,-0.071151278
1.059126614,-0.258416479,-0.024965579,0.007514882
1.055602943,-0.262963928,-0.055402338,-0.0146641
1.050072257,-0.265561714,-0.157158261,-0.054486747
1.037655528,-0.278652349,-0.133135515,-0.040953972
1.060711087,-0.001832017,2.28267816,-0.144266668
1.044666255,-0.087136819,0.169209727,0.268540309
1.009093279,-0.21914763,-0.914893725,0.033080927
1.019084409,-0.180277193,-0.534966477,0.100727746
1.021094729,-0.150857566,0.023660073,-0.012524125
1.068275144,-0.247109785,-0.126755918,0.008616436
1.060748256,-0.23633809,-0.074307293,-0.004902803
1.089908662,-0.23352292,0.018476676,0.180452799
1.054062124,-0.259986058,-0.237431611,-0.215393505
1.050044177,-0.263693004,-0.100534376,-0.054398891
1.058201076,-0.25848249,-0.031576737,0.008970031
1.055070772,-0.262990054,-0.065515137,-0.00355828
1.05003205,-0.262644598,-0.110260345,-0.069028036
1.037330096,-0.283230228,-0.167895317,-0.019966563
1.061428819,0.001585885,2.376386147,-0.124357379
1.043892722,-0.086779122,0.156492971,0.242149389
1.010219349,-0.222716253,-0.943796712,0.054760402
1.020163189,-0.181620808,-0.483587903,0.152179476
1.019489474,-0.15400948,-0.090121323,-0.069172999
1.069745471,-0.249451304,-0.120770837,0.052069562
1.061635555,-0.233557923,0.035122176,-0.014401895
1.089578926,-0.232511116,0.006874133,0.172847816
1.056672035,-0.264640689,-0.433614795,-0.138148707
1.052578138,-0.261036852,-0.001001772,-0.079525649
1.05811191,-0.258015319,-0.037831076,-0.011801715
1.055577043,-0.265421711,-0.063429798,-0.00390275
1.049177339,-0.265273532,-0.144693094,-0.07765561
1.03715383,-0.27798268,-0.119069703,-0.053142682
1.061362469,-0.003782897,2.246902619,-0.091772445
1.043828973,-0.086213735,0.260446347,0.20758685
1.011829442,-0.223792351,-0.958362663,0.087683035
1.01868474,-0.180048238,-0.439005349,0.089317269
1.018098746,-0.153644287,-0.108089843,-0.087414062
1.069365648,-0.246772483,-0.076622257,0.049217642
1.063660756,-0.23438027,-0.034769485,0.028076857
1.090470473,-0.23402729,0.002324258,0.165968078
1.056757341,-0.259365601,-0.211825315,-0.173522051
1.049788676,-0.265523496,-0.150544995,-0.05977847
1.055810738,-0.257439842,-0.025685665,-0.023481196
1.05423078,-0.263734631,-0.069275667,-0.012915038
1.049442907,-0.264934097,-0.14839177,-0.056874554
1.035706766,-0.280496826,-0.155931778,-0.045765528
1.060465864,-0.001131714,2.314464421,-0.182060719
1.047048336,-0.088740703,0.134759225,0.367549814
1.011005668,-0.2183308,-0.895448856,0.02125932
1.021086947,-0.181793013,-0.57501652,0.251206205
1.017565286,-0.150525698,0.042389718,-0.224246305
1.071729677,-0.250719196,-0.175487926,0.106067086
1.060949324,-0.232745773,0.031495676,-0.008817033
1.089655506,-0.233185945,-0.002888844,0.177575707
1.053989755,-0.262104472,-0.303163301,-0.201172317
1.049279048,-0.266035206,-0.127632539,-0.051605365
1.057468944,-0.256362703,0.008008359,-0.030987428
1.055121226,-0.260137777,-0.03708011,-0.047596238
1.051820172,-0.26601665,-0.13520986,-0.043276579
1.035325905,-0.28106383,-0.147108783,-0.049094471
1.06067095,0.000494688,2.366795763,-0.156144198
1.044910974,-0.08863617,0.132913004,0.326446904
1.008409447,-0.225059228,-0.961813752,0.052913378
1.017559433,-0.180910409,-0.508197993,0.064266917
1.018908486,-0.152409877,-0.033286418,-0.054666843
1.070120951,-0.247013517,-0.102741503,0.051732674
1.061050247,-0.232368034,0.011062809,-0.005862887
1.088576909,-0.234702969,-0.015310411,0.170127944
1.056394277,-0.258603689,-0.255902539,-0.149146249
1.049912968,-0.261730238,-0.092235931,-0.078325987
1.056156466,-0.25815733,-0.050400253,-0.013859194
1.054236352,-0.262438067,-0.071776891,-0.022539421
1.051689889,-0.263300474,-0.118111243,-0.049482423
1.036863417,-0.280831163,-0.163733155,-0.039320313
1.060536228,-0.00074568,2.311502838,-0.14098124
1.044551862,-0.086822154,0.20177325,0.267704247
1.011492957,-0.221507186,-0.92123114,0.066410462
1.018360401,-0.182525199,-0.591434357,0.099801678
1.019035641,-0.153110073,-0.034136648,-0.077990381
1.072519339,-0.245901175,-0.030614982,0.086633605
1.061907773,-0.231233448,0.019287009,0.010933406
1.089725696,-0.232758581,-0.010019109,0.172099072
1.055272013,-0.257419787,-0.253577678,-0.198347122
1.051090403,-0.261800887,-0.085551445,-0.04319079
1.055555529,-0.259907586,-0.081589082,-0.025045853
1.055090469,-0.261269737,-0.056981135,-0.032947113
1.049922423,-0.266280796,-0.194641468,-0.049183016
1.035685716,-0.2770473,-0.137354729,-0.050938985
1.060808249,-0.003599367,2.267966623,-0.146711486
1.046005215,-0.087554579,0.230571848,0.316490739
1.009722269,-0.221451939,-0.941644933,0.052095027
1.017729025,-0.178748027,-0.375693973,0.03703146
1.018209256,-0.155165761,-0.171430805,-0.05256194
1.070211107,-0.249319721,-0.108052742,0.055196813
1.061395891,-0.232617788,0.006749779,0.000256918
1.089723593,-0.231870122,0.004909291,0.175246597
1.055846144,-0.261683096,-0.308399722,-0.174356663
1.05172269,-0.265240823,-0.094923552,-0.051418517
1.058636997,-0.260462431,-0.038284728,-0.002917808
1.055334056,-0.263362969,-0.05540438,-0.018438335
1.050108946,-0.265376451,-0.136786012,-0.059546768
1.034566429,-0.280597123,-0.150067868,-0.054806826
1.060396439,0.001432479,2.381642508,-0.154523917
1.043654456,-0.088721676,0.053136744,0.27825745
1.008800746,-0.219670392,-0.915562453,0.030985417
1.019910465,-0.179801943,-0.519876905,0.122413316
1.021058918,-0.150516451,0.037693884,-0.029760338
1.070166496,-0.25143229,-0.187454585,0.084842741
1.062254317,-0.232282368,0.033237863,0.021657231
1.087922041,-0.235184729,-0.019041206,0.158554356
1.055379202,-0.260947136,-0.340308837,-0.185144377
1.05143228,-0.26233675,-0.064575341,-0.056219561
1.057483326,-0.258158527,-0.024826717,-0.020445664
1.05556291,-0.260606216,-0.02625582,-0.028888803
1.048495828,-0.265224312,-0.150647368,-0.076688887
1.035677351,-0.276537381,-0.123936206,-0.053744295
1.06215221,-0.000562167,2.360619965,-0.125250953
1.044712792,-0.08786556,0.181722829,0.244708772
1.010490307,-0.223576864,-0.939971153,0.057780015
1.019144815,-0.1827433,-0.495052423,0.072708537
1.020877907,-0.156179465,-0.132630961,0.005812649
1.06909402,-0.24523222,-0.083237005,0.041537694
1.060730473,-0.234160094,0.006324757,-0.023757023
1.089001432,-0.232876799,0.008415448,0.174783235
1.056497451,-0.262278063,-0.306361137,-0.162519731
1.052200678,-0.265075695,-0.108862542,-0.029484266
1.055911909,-0.254491633,-0.010649137,-0.040942312
1.05235653,-0.258657322,-0.058459839,-0.039045814
1.050188072,-0.262887377,-0.138727728,-0.040440236
1.036794034,-0.280034656,-0.146582878,-0.04420991
1.05863766,-0.000320184,2.251005536,-0.17734364
1.044311651,-0.083919041,0.293920677,0.268647162
1.009870383,-0.223712778,-0.968343961,0.079012948
1.016753988,-0.18028208,-0.558449882,-0.026100304
1.021586126,-0.152394365,-0.030025129,0.083950189
1.070310142,-0.247635622,-0.083996219,0.045119961
1.062179391,-0.228984149,0.078638979,0.036060494
1.089862256,-0.230698164,-0.011264222,0.171287031
1.054205736,-0.260864724,-0.343943369,-0.219056259
1.051231183,-0.263884194,-0.082000053,-0.037830325
1.057370295,-0.259180906,-0.044842903,-0.011361442
1.053375428,-0.262259785,-0.059561679,-0.03429309
1.049827601,-0.266480824,-0.16225296,-0.044785156
1.035924084,-0.280788747,-0.1448334,-0.041119699
1.059812587,0.001414219,2.379044604,-0.191178477
1.04525655,-0.088513201,0.110008148,0.337087363
1.008803208,-0.221721093,-0.935613889,0.035082667
1.019152083,-0.180298074,-0.469851294,0.070034191
1.02062322,-0.153158065,-0.067473601,-0.014100015
1.070516298,-0.248002773,-0.105163348,0.058115548
1.063054569,-0.233307088,0.018299729,0.029936494
1.088028197,-0.233114673,0.001263435,0.154255084
1.056621979,-0.262716613,-0.350129246,-0.164948029
1.051584578,-0.262688491,-0.0600623,-0.072056711
1.057809913,-0.257086742,-0.028445472,-0.017375398
1.054446311,-0.264095605,-0.070166216,-0.015897755
1.049843952,-0.2645287,-0.133410987,-0.073754575
1.036986945,-0.28209863,-0.152271398,-0.039540463
1.061547949,-0.000890593,2.356624421,-0.110652984
1.043605555,-0.088418797,0.139368761,0.244292937
1.009619835,-0.222647597,-0.93995949,0.05634932
1.018858972,-0.180285944,-0.420991581,0.09007021
1.018950478,-0.154867896,-0.131562502,-0.052235076
1.070322785,-0.248818602,-0.126010879,0.05948192
1.06200297,-0.233326319,-0.020098948,0.006306366
1.089374269,-0.231667111,0.010897352,0.169282888
1.056040804,-0.259939627,-0.251937954,-0.169076086
1.049891019,-0.264879774,-0.140422374,-0.059876822
1.057152912,-0.25582412,-0.000839354,-0.026292276
1.054958173,-0.26161387,-0.051610954,-0.032680246
1.05168699,-0.265717828,-0.140863563,-0.033925441
1.035639696,-0.279577465,-0.148559912,-0.053845332
1.06109529,-0.000266971,2.339493738,-0.155888518
1.045470968,-0.087552928,0.164617763,0.279053918
1.012990685,-0.221078056,-0.923194723,0.071571256
1.01960426,-0.180819336,-0.498421587,0.076872844
1.020268091,-0.153967094,-0.094093154,-0.033339582
1.069047364,-0.247777478,-0.098476877,0.023564641
1.062625784,-0.23066608,0.067713108,0.010228099
1.089353722,-0.233226225,-0.016824052,0.165313496
1.056627246,-0.261519143,-0.31333728,-0.143141523
1.048982088,-0.265028379,-0.116723913,-0.089137481
1.056426084,-0.258778524,-0.031472175,-0.008325662
1.056122114,-0.26387155,-0.060288544,-0.004002353
